battery_id,type,test_id,uid,filename,start_time,start_datetime,ambient_temperature,Cycle,Capacity,Capacity_Cycle,Re,Rct,Initial_Capacity,EOL_Threshold,EOL_Cycle,RUL,SOH,Status
B0005,discharge,1,5122,05122.csv,[2.0080e+03 4.0000e+00 2.0000e+00 1.5000e+01 2.5000e+01 4.1593e+01],,24,1,1.8564874208181572,0,,,1.8564874208181572,1.4851899366545258,100,100,100.0,안정
B0005,discharge,3,5124,05124.csv,[2.0080e+03 4.0000e+00 2.0000e+00 1.9000e+01 4.3000e+01 4.8406e+01],,24,3,1.846327249719927,1,,,1.8564874208181572,1.4851899366545258,100,99,99.45,안정
B0005,discharge,5,5126,05126.csv,[2.008e+03 4.000e+00 3.000e+00 0.000e+00 1.000e+00 6.687e+00],,24,5,1.835349194223408,2,,,1.8564874208181572,1.4851899366545258,100,98,98.86,안정
B0005,discharge,7,5128,05128.csv,[2008.       4.       3.       4.      16.      37.375],,24,7,1.8352625275821128,3,,,1.8564874208181572,1.4851899366545258,100,97,98.86,안정
B0005,discharge,9,5130,05130.csv,[2008.       4.       3.       8.      33.      25.703],,24,9,1.8346455082120416,4,,,1.8564874208181572,1.4851899366545258,100,96,98.82,안정
B0005,discharge,11,5132,05132.csv,[2008.       4.       3.      12.      55.      10.687],,24,11,1.8356616600675493,5,,,1.8564874208181572,1.4851899366545258,100,95,98.88,안정
B0005,discharge,13,5134,05134.csv,[2008.       4.       3.      17.      17.      16.015],,24,13,1.8351461429226603,6,,,1.8564874208181572,1.4851899366545258,100,94,98.85,안정
B0005,discharge,15,5136,05136.csv,[2008.       4.       3.      21.      28.      14.718],,24,15,1.8257567905665535,7,,,1.8564874208181572,1.4851899366545258,100,93,98.34,안정
B0005,discharge,17,5138,05138.csv,[2.0080e+03 4.0000e+00 4.0000e+00 1.0000e+00 3.8000e+01 1.5218e+01],,24,17,1.8247738529891333,8,,,1.8564874208181572,1.4851899366545258,100,92,98.29,안정
B0005,discharge,19,5140,05140.csv,[2008.       4.       4.       5.      48.       8.609],,24,19,1.824613268496936,9,,,1.8564874208181572,1.4851899366545258,100,91,98.28,안정
B0005,discharge,21,5142,05142.csv,[2008.       4.       4.       9.      57.      19.765],,24,21,1.8246195526864504,10,,,1.8564874208181572,1.4851899366545258,100,90,98.28,안정
B0005,discharge,24,5145,05145.csv,[2008.       4.       4.      17.      56.      27.609],,24,24,1.814201935767392,11,,,1.8564874208181572,1.4851899366545258,100,89,97.72,안정
B0005,discharge,26,5147,05147.csv,[2.0080e+03 4.0000e+00 4.0000e+00 2.2000e+01 1.0000e+00 5.4671e+01],,24,26,1.8137521577549052,12,,,1.8564874208181572,1.4851899366545258,100,88,97.7,안정
B0005,discharge,28,5149,05149.csv,[2.0080e+03 4.0000e+00 5.0000e+00 2.0000e+00 2.0000e+01 2.6703e+01],,24,28,1.8134404914735824,13,,,1.8564874208181572,1.4851899366545258,100,87,97.68,안정
B0005,discharge,30,5151,05151.csv,[2.008e+03 4.000e+00 5.000e+00 6.000e+00 2.500e+01 1.890e+00],,24,30,1.8025980036306504,14,,,1.8564874208181572,1.4851899366545258,100,86,97.1,안정
B0005,discharge,32,5153,05153.csv,[2008.       4.       5.      10.      30.      32.312],,24,32,1.80210690024615,15,,,1.8564874208181572,1.4851899366545258,100,85,97.07,안정
B0005,discharge,34,5155,05155.csv,[2008.       4.       5.      14.      34.      41.468],,24,34,1.802579500826209,16,,,1.8564874208181572,1.4851899366545258,100,84,97.1,안정
B0005,discharge,36,5157,05157.csv,[2008.       4.       5.      18.      39.      25.218],,24,36,1.8030683142834096,17,,,1.8564874208181572,1.4851899366545258,100,83,97.12,안정
B0005,discharge,38,5159,05159.csv,[2008.       4.       5.      22.      46.      35.484],,24,38,1.802777624719604,18,,,1.8564874208181572,1.4851899366545258,100,82,97.11,안정
B0005,discharge,41,5162,05162.csv,[2008.       4.      18.      21.      10.      19.796],,24,41,1.8470259949329195,19,,,1.8564874208181572,1.4851899366545258,100,81,99.49,안정
B0005,discharge,45,5166,05166.csv,[2008    4   19    2   29    9],,24,45,1.847417311283644,20,,,1.8564874208181572,1.4851899366545258,100,80,99.51,안정
B0005,discharge,49,5170,05170.csv,[2008.       4.      19.       7.      47.      15.703],,24,49,1.8361774213478947,21,,,1.8564874208181572,1.4851899366545258,100,79,98.91,안정
B0005,discharge,53,5174,05174.csv,[2.0080e+03 4.0000e+00 1.9000e+01 1.3000e+01 1.0000e+00 4.2562e+01],,24,53,1.825780747577624,22,,,1.8564874208181572,1.4851899366545258,100,78,98.35,안정
B0005,discharge,57,5178,05178.csv,[2008.       4.      19.      18.      27.      29.828],,24,57,1.8251136435078368,23,,,1.8564874208181572,1.4851899366545258,100,77,98.31,안정
B0005,discharge,61,5182,05182.csv,[2008.       4.      19.      23.      41.      55.687],,24,61,1.825581504220376,24,,,1.8564874208181572,1.4851899366545258,100,76,98.34,안정
B0005,discharge,65,5186,05186.csv,[2008.       4.      20.       4.      54.      41.734],,24,65,1.814031127508391,25,,,1.8564874208181572,1.4851899366545258,100,75,97.71,안정
B0005,discharge,69,5190,05190.csv,[2008.       4.      20.      10.      16.      28.859],,24,69,1.8147691941158937,26,,,1.8564874208181572,1.4851899366545258,100,74,97.75,안정
B0005,discharge,73,5194,05194.csv,[2008.       4.      20.      15.      37.       5.281],,24,73,1.813969388710352,27,,,1.8564874208181572,1.4851899366545258,100,73,97.71,안정
B0005,discharge,77,5198,05198.csv,[2008.       4.      20.      20.      50.      38.921],,24,77,1.802765665167823,28,,,1.8564874208181572,1.4851899366545258,100,72,97.11,안정
B0005,discharge,81,5202,05202.csv,[2.008e+03 4.000e+00 2.100e+01 2.000e+00 1.500e+01 2.921e+00],,24,81,1.804077040117352,29,,,1.8564874208181572,1.4851899366545258,100,71,97.18,안정
B0005,discharge,85,5206,05206.csv,[2008.       4.      22.      15.      33.      49.875],,24,85,1.8518025516704488,30,,,1.8564874208181572,1.4851899366545258,100,70,99.75,안정
B0005,discharge,89,5210,05210.csv,[2008.       4.      22.      20.      26.      18.921],,24,89,1.8307038456739428,31,,,1.8564874208181572,1.4851899366545258,100,69,98.61,안정
B0005,discharge,93,5214,05214.csv,[2.0080e+03 4.0000e+00 2.3000e+01 1.0000e+00 1.8000e+01 1.1796e+01],,24,93,1.8199041089501269,32,,,1.8564874208181572,1.4851899366545258,100,68,98.03,안정
B0005,discharge,97,5218,05218.csv,[2008.       4.      23.       6.      18.      19.921],,24,97,1.809307963702852,33,,,1.8564874208181572,1.4851899366545258,100,67,97.46,안정
B0005,discharge,101,5222,05222.csv,[2.008e+03 4.000e+00 2.300e+01 1.100e+01 8.000e+00 3.120e-01],,24,101,1.80460990458052,34,,,1.8564874208181572,1.4851899366545258,100,66,97.21,안정
B0005,discharge,105,5226,05226.csv,[2008.       4.      23.      16.       6.      25.171],,24,105,1.7993770651972192,35,,,1.8564874208181572,1.4851899366545258,100,65,96.92,안정
B0005,discharge,109,5230,05230.csv,[2.0080e+03 4.0000e+00 2.3000e+01 2.1000e+01 2.0000e+00 5.8296e+01],,24,109,1.7884432335370462,36,,,1.8564874208181572,1.4851899366545258,100,64,96.33,안정
