global_cycle,cha_t_cycle,cha_start,cha_time,cha_V_first,cha_V_last,cha_V_diff,cha_V_mean,cha_V_max,cha_V_min,cha_I_first,cha_I_last,cha_I_diff,cha_I_mean,cha_I_max,cha_I_min,cha_V_chg_first,cha_V_chg_last,cha_V_chg_diff,cha_I_chg_first,cha_I_chg_last,cha_I_chg_diff,cha_T_max,cha_T_mean,cha_imp,imp_t_cycle,imp_start,imp_Re,imp_Rct,imp1_Battery_impedance_real,imp1_Battery_impedance_imag,imp1_Battery_impedance_mag,imp_dis,cha_dis,dis_t_cycle,dis_start,dis_time,dis_V_first,dis_V_last,dis_V_diff,dis_V_mean,dis_V_max,dis_V_min,dis_V_load_mean,dis_I_load_mean,dis_I_first,dis_I_last,dis_I_diff,dis_I_mean,dis_I_max,dis_I_min,dis_T_max,dis_T_mean,dis_Capacity,SOH_target,dis_IR_drop,cha_t_cv_start,cha_ratio_cc,dis_dV_dQ_early,RUL,is_EOL,dis_imp2,imp2_t_cycle,imp2_start,imp2_Re,imp2_Rct,dis_cha,imp2_cha,cha_T_first,cha_T_last,cha_T_diff,cha_T_min,dis_T_first,dis_T_last,dis_T_diff,dis_T_min,imp1_Sense_current_real,imp1_Sense_current_imag,imp1_Sense_current_mag,imp1_Battery_current_real,imp1_Battery_current_imag,imp1_Battery_current_mag,imp1_Current_ratio_real,imp1_Current_ratio_imag,imp1_Current_ratio_mag,imp1_Rectified_Impedance_real,imp1_Rectified_Impedance_imag,imp1_Rectified_Impedance_mag,imp2_Sense_current_real,imp2_Sense_current_imag,imp2_Sense_current_mag,imp2_Battery_current_real,imp2_Battery_current_imag,imp2_Battery_current_mag,imp2_Current_ratio_real,imp2_Current_ratio_imag,imp2_Current_ratio_mag,imp2_Battery_impedance_real,imp2_Battery_impedance_imag,imp2_Battery_impedance_mag,imp2_Rectified_Impedance_real,imp2_Rectified_Impedance_imag,imp2_Rectified_Impedance_mag,imp_Re_status,imp_Rct_status,imp1_Sense_current_real_status,imp1_Sense_current_imag_status,imp1_Sense_current_mag_status,imp1_Battery_current_real_status,imp1_Battery_current_imag_status,imp1_Battery_current_mag_status,imp1_Current_ratio_real_status,imp1_Current_ratio_imag_status,imp1_Current_ratio_mag_status,imp1_Battery_impedance_real_status,imp1_Battery_impedance_imag_status,imp1_Battery_impedance_mag_status,imp1_Rectified_Impedance_real_status,imp1_Rectified_Impedance_imag_status,imp1_Rectified_Impedance_mag_status,imp2_Re_status,imp2_Rct_status,imp2_Sense_current_real_status,imp2_Sense_current_imag_status,imp2_Sense_current_mag_status,imp2_Battery_current_real_status,imp2_Battery_current_imag_status,imp2_Battery_current_mag_status,imp2_Current_ratio_real_status,imp2_Current_ratio_imag_status,imp2_Current_ratio_mag_status,imp2_Battery_impedance_real_status,imp2_Battery_impedance_imag_status,imp2_Battery_impedance_mag_status,imp2_Rectified_Impedance_real_status,imp2_Rectified_Impedance_imag_status,imp2_Rectified_Impedance_mag_status,battery_id
1,0,2008-04-02 13:08:17,7597.875,3.873017221300996,4.191077562801999,0.3180603415010026,4.187419504014827,4.2099486995035615,3.479393559379272,-0.0012006606982979,-0.0028924441582523,-0.0016917834599543997,0.6434546691871927,1.5143932321982565,-4.030268477538787,0.003,0.003,0.0,0.0,0.0,0.0,27.445134031590747,25.32407901830568,,,,,,,,,,646.125,1,2008-04-02 15:25:41,3690.234,4.191491807505295,3.277169976825196,-0.9143218306800986,3.5298286688693397,4.191491807505295,2.612467347907089,2.4049441624365477,-1.8055695431472079,-0.0049015892074626,-0.0065283512516069,-0.0016267620441443005,-1.8187019641679727,0.0007285852728454,-2.0180146876333027,38.98218133148803,32.572328114029,1.8564874208181574,100.0,0.0007427397291914772,0.0,0.0,0.0027143336583738352,162,False,,,,,,639.7660000000001,,24.65535783391511,24.507040498124308,-0.14831733579080364,24.167061880805868,24.330033885570543,34.230852841540965,9.900818955970422,24.325993424022467,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,B0005
2,2,2008-04-02 16:37:51,10516.0,3.3250546568448542,4.189061841085507,0.8640071842406525,4.058826443375249,4.213016370444398,3.001950570776504,0.0003020467311432,-0.0018332236338931,-0.0021352703650363,0.9490426727251161,1.5151784093535638,-3.361982908688226,0.003,0.003,0.0,-0.002,0.0,0.002,29.34194895777482,26.63562262811608,,,,,,,,,,641.0,3,2008-04-02 19:43:48,3672.344,4.189773213846608,3.3002448871222545,-0.8895283267243532,3.5373201277859714,4.189773213846608,2.587208728940726,2.399260204081633,-1.8045826530612243,2.125117981080765e-05,-0.0004475525791171,-0.00046880375892790766,-1.8175598506612867,0.0029274033590803,-2.016820542901454,39.03339796678704,32.72523522519307,1.846327249719927,99.45272071416714,0.0008918335675085487,0.0,0.0,0.0026367761859551475,161,False,,,,,,639.656,,29.341850509195503,24.949952033579347,-4.391898475616156,24.52851520043705,24.697751935729325,34.3921365871887,9.694384651459377,24.685948163596,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,B0005
3,4,2008-04-02 20:55:40,10484.547,3.3526036599987754,4.187398225806162,0.8347945658073868,4.058138828852896,4.212788046609961,3.0358785775794024,0.0019896423395958,0.0022765579862646,0.0002869156466688001,0.9505286974657304,1.5168939445650549,-3.384407789097242,0.003,0.003,0.0,0.0,0.0,0.0,29.553300732538816,26.778175507896698,,,,,,,,,,641.4529999999995,5,2008-04-03 00:01:06,3651.641,4.188186735991303,3.327451009868628,-0.8607357261226753,3.5437367282719,4.188186735991303,2.65191689384378,2.3979692307692306,-1.8035753846153844,-0.0017540301662326,0.0010260185593644,0.002780048725597,-1.8164865418840956,0.001483676365228,-2.016573862170142,38.81879668981741,32.64286193755933,1.8353491942234077,98.86138595081705,0.0009883975977293957,0.0,0.0,0.0026024899559267613,160,False,,,,,,640.3589999999999,,29.553300732538816,24.977085475273373,-4.576215257265442,24.600173786523012,24.7342661639544,34.23277871576327,9.498512551808869,24.7342661639544,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,B0005
4,6,2008-04-03 01:12:38,10397.89,3.378798976512954,4.188054956074227,0.8092559795612733,4.058904789088504,4.212924011950438,3.0661450551857485,-0.0022657924434299,-0.0008619592833492,0.0014038331600807,0.9523115206216739,1.5175028479320207,-3.4122633601213583,0.003,0.003,0.0,0.0,0.0,0.0,29.456340289732644,26.70320405781683,,,,,,,,,,641.1100000000006,7,2008-04-03 04:16:37,3631.563,4.188461118855572,3.314181858907029,-0.8742792599485427,3.5436661072601456,4.188461118855572,2.592947964776547,2.4082886597938145,-1.8128628865979384,-0.0027750361294468,-0.0022336216958504,0.0005414144335963997,-1.8255891938692528,0.0015470119527235,-2.0159359571668354,38.7623045063458,32.51487646204882,1.8352625275821128,98.85671763794173,0.0007089086814424661,0.0,0.0,0.002585448748699046,159,False,,,,,,640.4369999999999,,29.456340289732644,24.89522226435173,-4.561118025380914,24.49334629714403,24.65423646922845,34.413449952605504,9.759213483377053,24.65224374129252,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,B0005
5,8,2008-04-03 05:27:49,10495.203,3.372870917439266,4.188438430915413,0.8155675134761471,4.058329981003973,4.2128738833616,3.0637656606174013,-0.0005034579310428,0.0003977322067047,0.0009011901377474999,0.9477284862498987,1.5169487474809895,-3.403625146732859,0.003,0.003,0.0,0.0,0.0,0.0,29.4813335075363,26.617004288392003,,,,,,,,,,640.7970000000005,9,2008-04-03 08:33:25,3629.172,4.188298524761055,3.30549673128648,-0.8828017934745747,3.5423432526672167,4.188298524761055,2.547419651124539,2.408505154639175,-1.8128762886597938,-0.0079808668038886,9.237228410233749e-06,0.007990104032298833,-1.8261139590277584,0.0017014548245034,-2.017425579158831,38.66539257343368,32.38234901543077,1.8346455082120419,98.82348178817772,0.0009137938821366376,0.0,0.0,0.00257623190900798,158,False,,,,,,640.828,,29.4813335075363,24.67612004904477,-4.805213458491529,24.42016992589388,24.524796959348127,34.34588498997869,9.821088030630566,24.518700434435164,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,B0005
6,10,2008-04-03 09:44:35,10792.672,3.366774899409287,4.188694683535447,0.8219197841261598,4.059785107501149,4.212763963219923,3.0593224041262927,-0.0007553386127022,-0.0040058114941904,-0.0032504728814882,0.9326606943848299,1.5165104184246716,-3.3944513625869224,0.003,0.003,0.0,0.0,0.0,0.0,29.39582042914756,26.51849450408942,,,,,,,,,,642.3279999999995,11,2008-04-03 12:55:10,3652.281,4.188815807948604,3.302329112973759,-0.8864866949748449,3.5413347346347575,4.188815807948604,2.5209480504077413,2.3962512820512822,-1.80365641025641,-0.0050555682941469,-0.0039672301115556,0.0010883381825913,-1.8168108743168805,0.0024899497555445,-2.0162347618032066,38.75169504640032,32.43418218230641,1.8356616600675495,98.87821697485944,0.000876598666355477,0.0,0.0,0.0025629624836661204,157,False,,,,,,640.719,,29.39582042914756,24.634213014325965,-4.761607414821594,24.41186883829393,24.522297376927863,34.20092692100587,9.67862954407801,24.51442664842638,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,B0005
7,12,2008-04-03 14:06:43,10789.985,3.361035656604376,4.188638651396802,0.8276029947924264,4.058914241429766,4.213176751734383,3.0533599221041614,0.0027654557845526,0.0003798502450155,-0.0023856055395370997,0.9322724824266048,1.5149343200832288,-3.401390462320561,0.003,0.003,0.0,-0.002,0.0,0.002,29.43842411948605,26.620706323978894,,,,,,,,,,643.0149999999994,13,2008-04-03 17:17:16,3650.828,4.18839163793879,3.2937406695499014,-0.8946509683888886,3.5410250495075215,4.18839163793879,2.487927319492314,2.394646153846154,-1.8036205128205127,-0.002633435144531,-0.0034248271938185,-0.0007913920492875,-1.816791144707133,0.0023142958827398,-2.01583310669507,38.8207012322275,32.480416444757985,1.8351461429226603,98.85044855913476,0.0006699126808786815,0.0,0.0,0.0025467091457486114,156,False,,,,,,640.172,,29.43842411948605,24.70447199077869,-4.733952128707362,24.527457541863317,24.58487828579781,34.298284762513184,9.713406476715374,24.575581239008407,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,B0005
8,14,2008-04-03 18:28:47,10127.562,3.3539426477782506,4.187708674641868,0.8337660268636178,4.053425643583467,4.212850577044761,3.048720950345317,-0.0008283773365693,-0.0032789506755612,-0.0024505733389919,0.9653291698755072,1.516037681196602,-3.385806497377117,0.003,0.003,0.0,0.0,0.0,0.0,29.51081056398121,26.737918888901717,,,,,,,,,,639.4380000000001,15,2008-04-03 21:28:14,3572.453,4.188927891511958,3.3162307407741536,-0.8726971507378045,3.554133296801584,4.188927891511958,2.665204904745877,2.434628272251309,-1.8308837696335079,0.0022276160569156,0.0017102389699127,-0.0005173770870028997,-1.8443412120754061,0.0022276160569156,-2.0166395518034546,38.51713023385634,32.41046186109587,1.8257567905665537,98.34468955151549,0.0009045020181543961,0.0,0.0,0.0025293211175584805,155,False,,,,,,640.547,,29.499916243604986,25.015446088155624,-4.484470155449362,24.545714784434757,24.713628799279796,34.76224183630716,10.048613037027366,24.71132429046902,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,B0005
9,16,2008-04-03 22:38:27,10147.952999999994,3.386527224467541,4.188512669392655,0.8019854449251143,4.055637707823975,4.213141772335243,3.0824222303522406,0.0001856156608074,-0.0001528426471572,-0.0003384583079646,0.9616213808811537,1.5173922491512082,-3.43387007729948,0.003,0.003,0.0,0.0,0.0,0.0,29.668813794471543,26.741457030661458,,,,,,,,,,640.0470000000059,17,2008-04-04 01:38:15,3550.594,4.189029250882121,3.297410935416153,-0.8916183154659678,3.5529355991467955,4.189029250882121,2.603858472633368,2.4485105263157894,-1.8405052631578949,-0.0021960382833998,-0.00100405237818,0.0011919859052198002,-1.853972745505648,0.0054010283210214,-2.018357230695621,38.526267904657,32.3461408313,1.8247738529891333,98.29174345738105,0.0015810290562399132,0.0,0.0,0.0025326356902970336,154,False,,,,,,640.406,,29.668813794471543,24.86129216091919,-4.807521633552351,24.51382202883513,24.63521163332469,35.05182952791622,10.416617894591528,24.628487294051176,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,B0005
10,18,2008-04-04 02:48:06,10162.094,3.3775954668097983,4.188642231288737,0.811046764478939,4.0551389874488235,4.212949842741421,3.075795646323062,-0.0033446653226706,-7.740122851440965e-05,0.0032672640941561904,0.9608152867945828,1.517754813457655,-3.416543780338169,0.003,0.003,0.0,0.0,0.0,0.0,29.77928873582229,26.7021703105932,,,,,,,,,,639.9060000000009,19,2008-04-04 05:48:08,3551.25,4.189223427076418,3.2884044830952868,-0.9008189439811312,3.5512057319376997,4.189223427076418,2.552853984885676,2.4496526315789473,-1.8404957894736844,-0.0059760123362068,0.0012614014099626,0.0072374137461694,-1.853589933851096,0.0030191479674457,-2.016071837814984,38.52698128472781,32.27679750791685,1.824613268496936,98.2830935473199,0.000531502845560361,0.0,0.0,0.0025254773671536503,153,False,,,,,,640.75,,29.77928873582229,24.80485389790333,-4.97443483791896,24.435380667117133,24.572057664095556,35.02973666184703,10.457678997751476,24.561560340089137,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,B0005
